artifact_id,artifact_name,alignment_status,left_record,left_source,right_record,right_source,grade,same_name,left_dimensions,right_dimensions,exact_dimension_fields,dimension_conflicts,inscription_similarity,flags,current_alignment_evidence,expert_same_object,expert_note
,一天秋,ambiguous,Gq00036,Gq,Yjzq00035,Yjzq,A_strong,True,L=121cm; W=18.2cm; T=5.5cm,L=121cm; W=18.2cm; T=5.5cm,length | shoulder_width | thickness,,0.0,,exact normalized name,,
gq-object-8e3e641d67,中和,confirmed,Gq00031,Gq,Yjzq00031,Yjzq,A_strong,True,L=120.8cm; W=18.6cm; T=5.8cm; TW=14.2cm; TT=4.8cm,L=120.8cm; W=18.6cm; T=5.8cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'Gq00031', 'right_record': 'Yjzq00031', 'normalized_name': '中和', 'score': 0.61, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence']}",,
,写韵,candidate,Gq00076,Gq,Yjzq00086,Yjzq,A_strong,True,L=119.7cm; W=19.1cm; T=5.2cm,L=119.7cm; W=19.1cm; T=5.2cm,length | shoulder_width | thickness,,0.833,,exact normalized name | shared material evidence,,
gq-object-5c621975c4,凤鸣,confirmed,Gq00017,Gq,QNQY059,QNQY,A_strong,True,L=127.7cm; W=22.3cm; T=5.3cm,L=127.7cm; W=22.3cm; TW=15.4cm; TT=4.3cm,length | shoulder_width,,0.0,,"{'left_record': 'Gq00017', 'right_record': 'Yjzq00013', 'normalized_name': '凤鸣', 'score': 0.61, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Gq00017', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Yjzq00013', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']}",,
gq-object-5c621975c4,凤鸣,confirmed,Gq00017,Gq,Yjzq00013,Yjzq,A_strong,True,L=127.7cm; W=22.3cm; T=5.3cm,L=127.7cm; W=22.3cm; T=5.3cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'Gq00017', 'right_record': 'Yjzq00013', 'normalized_name': '凤鸣', 'score': 0.61, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Gq00017', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Yjzq00013', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']}",,
gq-object-5c621975c4,凤鸣,confirmed,Yjzq00013,Yjzq,QNQY059,QNQY,A_strong,True,L=127.7cm; W=22.3cm; T=5.3cm,L=127.7cm; W=22.3cm; TW=15.4cm; TT=4.3cm,length | shoulder_width,,0.727,,"{'left_record': 'Gq00017', 'right_record': 'Yjzq00013', 'normalized_name': '凤鸣', 'score': 0.61, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Gq00017', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared material evidence', 'shared provenance evidence']} | {'left_record': 'Yjzq00013', 'right_record': 'QNQY059', 'normalized_name': '凤鸣', 'score': 0.73, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared material evidence', 'shared provenance evidence']}",,
,号钟,candidate,QNQY084,QNQY,CQL042,CQL,A_strong,True,L=119cm; E=100.3cm; HW=17.7cm; W=18.8cm; TW=13.3cm; T=4.2cm,L=119cm; W=18.8cm; T=4.2cm; E=100.3cm; HW=17.7cm; TW=13.3cm,effective_length | head_width | length | shoulder_width | tail_width | thickness,,0.0,,exact normalized name | shared form evidence,,
gq-object-ac90f78803,彩凤鸣岐,confirmed,QNQY029,QNQY,CQL009,CQL,A_strong,True,L=124.8cm; W=18.8cm; T=5.4cm; E=116.3cm; HW=16.3cm; TW=12.5cm,L=124.8cm; W=18.8cm; T=5.4cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'QNQY029', 'right_record': 'CQL009', 'normalized_name': '彩凤鸣岐', 'score': 0.69, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared form evidence', 'shared material evidence']}",,
,无名琴,candidate,Gq00016,Gq,Yjzq00011,Yjzq,A_strong,True,L=121cm; W=19.4cm; T=5cm,L=121cm; W=19.4cm; T=5cm,length | shoulder_width | thickness,,1.0,,both records are unnamed | shared dating evidence | shared form evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00057,Gq,Yjzq00063,Yjzq,A_strong,True,L=123.9cm; W=20.1cm; T=6.3cm,L=123.9cm; W=20.1cm; T=6.3cm,length | shoulder_width | thickness,,0.0,,both records are unnamed | shared ash evidence | shared dating evidence | shared duanwen evidence | shared form evidence | shared lacquer evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00059,Gq,Yjzq00065,Yjzq,A_strong,True,L=122.2cm; W=17.8cm; T=5.9cm; TW=14.2cm; TT=5.4cm,L=122.2cm; W=17.8cm; T=5.9cm,length | shoulder_width | thickness,,0.04,,both records are unnamed | shared identity anchor inscriber | shared lacquer evidence,,
,无名琴,candidate,Gq00073,Gq,Yjzq00078,Yjzq,A_strong,True,L=123.4cm; W=20.2cm; T=5.2cm,L=123.4cm; W=20.2cm; T=5.2cm,length | shoulder_width | thickness,,0.953,,both records are unnamed | shared ash evidence | shared dating evidence | shared lacquer evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00077,Gq,Yjzq00087,Yjzq,A_strong,True,L=119cm; W=18.5cm; T=6cm; TW=13.2cm; TT=5.7cm,L=119cm; W=18.5cm; T=6cm,length | shoulder_width | thickness,,0.0,,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00079,Gq,Yjzq00089,Yjzq,A_strong,True,L=123.8cm; W=18.2cm; T=4.5cm,L=123.8cm; W=18.2cm; T=4.5cm,length | shoulder_width | thickness,,0.0,,both records are unnamed | shared identity anchor provenance | shared lacquer evidence,,
,无名琴,candidate,Gq00082,Gq,Yjzq00092,Yjzq,A_strong,True,L=121.2cm; W=19.1cm; T=4.2cm,L=121.2cm; W=19.1cm; T=4.2cm,length | shoulder_width | thickness,,0.0,,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
gq-object-637f5152f3,无名琴 · Gq00041 / Yjzq00040,confirmed,Gq00041,Gq,Yjzq00040,Yjzq,A_strong,True,L=122.3cm; W=19.8cm; T=5.8cm,L=122.3cm; W=19.8cm; T=5.8cm,length | shoulder_width | thickness,,0.78,,"{'left_record': 'Gq00041', 'right_record': 'Yjzq00040', 'normalized_name': '无名琴', 'score': 0.96, 'status': 'confirmed', 'reasons': ['both records are unnamed', 'shared identity anchor inscriber', 'shared identity anchor provenance', 'shared duanwen evidence', 'shared duanwen evidence', 'shared lacquer evidence', 'shared material evidence']}",,
gq-object-007f5a5880,无名琴 · Gq00052 / Yjzq00052,confirmed,Gq00052,Gq,Yjzq00052,Yjzq,A_strong,True,L=124cm; W=19.2cm; T=5.1cm,L=124cm; W=19.2cm; T=5.1cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'Gq00052', 'right_record': 'Yjzq00052', 'normalized_name': '无名琴', 'score': 0.8, 'status': 'confirmed', 'reasons': ['both records are unnamed', 'shared identity anchor provenance', 'shared identity anchor provenance', 'shared lacquer evidence', 'shared material evidence']}",,
gq-object-08ea5ebdc1,无名琴 · Gq00070 / Yjzq00082,confirmed,Gq00070,Gq,Yjzq00082,Yjzq,A_strong,True,L=119.4cm; W=20.4cm; T=5cm,L=119.4cm; W=20.4cm; T=5cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'Gq00070', 'right_record': 'Yjzq00082', 'normalized_name': '无名琴', 'score': 0.6, 'status': 'confirmed', 'reasons': ['both records are unnamed', 'shared identity anchor naming_origin', 'shared ash evidence', 'shared lacquer evidence', 'shared material evidence']}",,
,春雷秋籁,candidate,QNQY037,QNQY,CQL026,CQL,A_strong,True,L=117.1cm; W=17.4cm; T=5.2cm,L=117.1cm; W=17.4cm; T=5.2cm; E=107.3cm; HW=16.8cm; TW=12cm,length | shoulder_width | thickness,,0.0,,exact normalized name | shared dating evidence | shared material evidence,,
gq-object-d22a6ae355,来凰,confirmed,QNQY041,QNQY,CQL016,CQL,A_strong,True,L=120.4cm; E=110.7cm; HW=5.8cm; W=20.7cm; TW=13.5cm; T=5.6cm,L=120.4cm; W=20.7cm; T=5.6cm; E=110.7cm; HW=15.8cm; TW=13.5cm,effective_length | length | shoulder_width | tail_width | thickness,head_width: 5.8/15.8,0.0,dimension disagreement,"{'left_record': 'QNQY041', 'right_record': 'CQL016', 'normalized_name': '来凰', 'score': 0.57, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared form evidence']}",,
gq-object-b688f82946,松石间意,confirmed,Gq00020,Gq,QNQY053,QNQY,A_strong,True,L=122.5cm; W=19.2cm; T=5.3cm,L=122.5cm; W=19.2cm; T=5.3cm,length | shoulder_width | thickness,,1.0,,"{'left_record': 'Gq00020', 'right_record': 'QNQY053', 'normalized_name': '松石间意', 'score': 0.9, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared form evidence', 'shared material evidence', 'shared provenance evidence']}",,
,松石间意,candidate,Gq00020,Gq,Yjzq00019,Yjzq,A_strong,True,L=122.5cm; W=19.2cm; T=5.3cm,L=122.5cm; W=20.7cm; T=5.3cm,length | thickness,shoulder_width: 19.2/20.7,0.732,dimension disagreement,exact normalized name | shared material evidence,,
,松石间意,candidate,Yjzq00019,Yjzq,QNQY053,QNQY,A_strong,True,L=122.5cm; W=20.7cm; T=5.3cm,L=122.5cm; W=19.2cm; T=5.3cm,length | thickness,shoulder_width: 20.7/19.2,0.732,dimension disagreement,exact normalized name | shared material evidence,,
,松风,ambiguous,Gq00064,Gq,Yjzq00070,Yjzq,A_strong,True,L=125.5cm; W=19.5cm; T=5.7cm,L=1505cm; W=19.5cm; T=5.7cm,shoulder_width | thickness,length: 125.5/1505,0.167,dimension disagreement,exact normalized name,,
gq-object-db99a5c696,瀑飞,confirmed,Gq00056,Gq,Yjzq00061,Yjzq,A_strong,True,L=121.2cm; W=18.7cm; T=4.8cm,L=1212cm; W=18.7cm; T=4.8cm,shoulder_width | thickness,,0.0,length: decimal shift 121.2/1212,"{'left_record': 'Gq00056', 'right_record': 'Yjzq00061', 'normalized_name': '瀑飞', 'score': 0.86, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared inscription evidence', 'shared material evidence']}",,
gq-object-2c7267350c,疏影,confirmed,QNQY045,QNQY,CQL030,CQL,A_strong,True,L=124.7cm; W=18.9cm; T=5.2cm,L=124.7cm; W=18.9cm; T=5.2cm; E=115.1cm; HW=17.8cm; TW=13.3cm,length | shoulder_width | thickness,,0.0,,"{'left_record': 'QNQY045', 'right_record': 'CQL030', 'normalized_name': '疏影', 'score': 0.69, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared form evidence', 'shared material evidence']}",,
,襄,candidate,Gq00014,Gq,Yjzq00008,Yjzq,A_strong,True,L=124cm; W=20.4cm; T=5.4cm,L=124cm; W=20.4cm; T=5.4cm,length | shoulder_width | thickness,,0.977,,exact normalized name | shared dating evidence,,
gq-object-1215b79e6b,谷应,confirmed,QNQY033,QNQY,CQL021,CQL,A_strong,True,L=124.5cm; W=19.4cm; T=5.6cm,L=124.5cm; E=114.2cm; HW=19.3cm; W=19.4cm; TW=13.7cm; T=5.6cm,length | shoulder_width | thickness,,0.248,,"{'left_record': 'QNQY033', 'right_record': 'CQL021', 'normalized_name': '谷应', 'score': 0.86, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared inscription evidence']}",,
,金声玉振,candidate,Gq00054,Gq,Yjzq00058,Yjzq,A_strong,True,L=107.3cm; W=17.6cm; T=4.8cm; TW=12.2cm; TT=4.4cm,L=107.3cm; W=17.6cm; T=4.8cm,length | shoulder_width | thickness,,0.0,,exact normalized name | shared material evidence,,
,雪声,ambiguous,Gq00044,Gq,Yjzq00043,Yjzq,A_strong,True,L=118.7cm; W=18.3cm; T=4.7cm,L=1157cm; W=18.3cm; T=4.7cm,shoulder_width | thickness,length: 118.7/1157,0.699,dimension disagreement,exact normalized name,,
,霜天月,candidate,Gq00026,Gq,Yjzq00025,Yjzq,A_strong,True,L=124.1cm; W=21cm; T=5.5cm,L=154.1cm; W=21cm; T=5.5cm,shoulder_width | thickness,length: 124.1/154.1,0.309,dimension disagreement,exact normalized name | shared material evidence,,
,霜钟,candidate,Gq00029,Gq,Yjzq00029,Yjzq,A_strong,True,L=119.5cm; W=18.8cm; T=5.3cm,L=119.5cm; W=18.8cm; T=5.3cm,length | shoulder_width | thickness,,0.0,,exact normalized name | shared material evidence,,
,靡雷,candidate,Gq00048,Gq,Yjzq00048,Yjzq,A_strong,True,L=126.1cm; W=20.3cm; T=5.2cm,L=1261cm; W=20.3cm; T=5.2cm,shoulder_width | thickness,,0.0,length: decimal shift 126.1/1261,exact normalized name | shared material evidence,,
gq-object-30add4e511,韵磬,confirmed,Gq00034,Gq,Yjzq00033,Yjzq,A_strong,True,L=124.5cm; W=19.1cm; T=5.1cm,L=124.5cm; W=9.1cm; T=5.1cm,length | thickness,shoulder_width: 19.1/9.1,0.0,dimension disagreement,"{'left_record': 'Gq00034', 'right_record': 'Yjzq00033', 'normalized_name': '韵磬', 'score': 0.65, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared inscription evidence']}",,
,韵雪,candidate,QNQY076,QNQY,CQL044,CQL,A_strong,True,L=123.8cm; W=19.8cm; T=5.7cm,L=123.8cm; W=19.8cm; T=5.7cm; HW=17.5cm; TW=13.3cm; E=113.3cm,length | shoulder_width | thickness,,0.0,,exact normalized name | shared dating evidence,,
,无名琴,candidate,Gq00016,Gq,Yjzq00024,Yjzq,B_supported,True,L=121cm; W=19.4cm; T=5cm,L=119.2cm; W=19.9cm; T=5cm,thickness,length: 121/119.2 | shoulder_width: 19.4/19.9,0.08,dimension disagreement,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00057,Gq,Yjzq00078,Yjzq,B_supported,True,L=123.9cm; W=20.1cm; T=6.3cm,L=123.4cm; W=20.2cm; T=5.2cm,shoulder_width,length: 123.9/123.4 | thickness: 6.3/5.2,0.0,dimension disagreement,both records are unnamed | shared lacquer evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00083,Gq,Yjzq00078,Yjzq,B_supported,True,L=123.5cm; W=19.7cm; T=4.8cm,L=123.4cm; W=20.2cm; T=5.2cm,length,shoulder_width: 19.7/20.2 | thickness: 4.8/5.2,0.0,dimension disagreement,both records are unnamed | shared dating evidence | shared form evidence | shared lacquer evidence | shared material evidence,,
,无名琴,candidate,Gq00016,Gq,Yjzq00087,Yjzq,C_name_only,True,L=121cm; W=19.4cm; T=5cm,L=119cm; W=18.5cm; T=6cm,,length: 121/119 | shoulder_width: 19.4/18.5 | thickness: 5/6,0.0,dimension disagreement,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00016,Gq,Yjzq00092,Yjzq,C_name_only,True,L=121cm; W=19.4cm; T=5cm,L=121.2cm; W=19.1cm; T=4.2cm,,length: 121/121.2 | shoulder_width: 19.4/19.1 | thickness: 5/4.2,0.0,dimension disagreement,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00019,Gq,Yjzq00024,Yjzq,C_name_only,True,L=117.4cm; E=109.7cm; W=18.5cm; T=5.4cm; TW=13cm; TT=5cm,L=119.2cm; W=19.9cm; T=5cm,,length: 117.4/119.2 | shoulder_width: 18.5/19.9 | thickness: 5.4/5,0.0,dimension disagreement,both records are unnamed | shared lacquer evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00041,Gq,Yjzq00089,Yjzq,C_name_only,True,L=122.3cm; W=19.8cm; T=5.8cm,L=123.8cm; W=18.2cm; T=4.5cm,,length: 122.3/123.8 | shoulder_width: 19.8/18.2 | thickness: 5.8/4.5,0.0,dimension disagreement,both records are unnamed | shared identity anchor provenance,,
,无名琴,candidate,Gq00070,Gq,Yjzq00078,Yjzq,C_name_only,True,L=119.4cm; W=20.4cm; T=5cm,L=123.4cm; W=20.2cm; T=5.2cm,,length: 119.4/123.4 | shoulder_width: 20.4/20.2 | thickness: 5/5.2,0.041,dimension disagreement,both records are unnamed | shared dating evidence | shared form evidence | shared lacquer evidence | shared material evidence,,
,无名琴,candidate,Gq00075,Gq,Yjzq00024,Yjzq,C_name_only,True,L=119.5cm; W=15.4cm; T=5.5cm; TW=12.6cm; TT=5cm,L=119.2cm; W=19.9cm; T=5cm,,length: 119.5/119.2 | shoulder_width: 15.4/19.9 | thickness: 5.5/5,0.0,dimension disagreement,both records are unnamed | shared lacquer evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00075,Gq,Yjzq00090,Yjzq,C_name_only,True,L=119.5cm; W=15.4cm; T=5.5cm; TW=12.6cm; TT=5cm,L=123.1cm; W=17.7cm; T=4.6cm,,length: 119.5/123.1 | shoulder_width: 15.4/17.7 | thickness: 5.5/4.6,0.0,dimension disagreement,both records are unnamed | shared identity anchor naming_origin,,
,无名琴,candidate,Gq00077,Gq,Yjzq00024,Yjzq,C_name_only,True,L=119cm; W=18.5cm; T=6cm; TW=13.2cm; TT=5.7cm,L=119.2cm; W=19.9cm; T=5cm,,length: 119/119.2 | shoulder_width: 18.5/19.9 | thickness: 6/5,0.0,dimension disagreement,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00077,Gq,Yjzq00092,Yjzq,C_name_only,True,L=119cm; W=18.5cm; T=6cm; TW=13.2cm; TT=5.7cm,L=121.2cm; W=19.1cm; T=4.2cm,,length: 119/121.2 | shoulder_width: 18.5/19.1 | thickness: 6/4.2,0.0,dimension disagreement,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00079,Gq,Yjzq00040,Yjzq,C_name_only,True,L=123.8cm; W=18.2cm; T=4.5cm,L=122.3cm; W=19.8cm; T=5.8cm,,length: 123.8/122.3 | shoulder_width: 18.2/19.8 | thickness: 4.5/5.8,0.0,dimension disagreement,both records are unnamed | shared identity anchor provenance | shared material evidence,,
,无名琴,candidate,Gq00079,Gq,Yjzq00093,Yjzq,C_name_only,True,L=123.8cm; W=18.2cm; T=4.5cm,L=123.5cm; W=19.7cm; T=4.8cm,,length: 123.8/123.5 | shoulder_width: 18.2/19.7 | thickness: 4.5/4.8,0.0,dimension disagreement,both records are unnamed | shared duanwen evidence | shared form evidence | shared lacquer evidence | shared material evidence,,
,无名琴,candidate,Gq00082,Gq,Yjzq00024,Yjzq,C_name_only,True,L=121.2cm; W=19.1cm; T=4.2cm,L=119.2cm; W=19.9cm; T=5cm,,length: 121.2/119.2 | shoulder_width: 19.1/19.9 | thickness: 4.2/5,0.0,dimension disagreement,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
,无名琴,candidate,Gq00082,Gq,Yjzq00078,Yjzq,C_name_only,True,L=121.2cm; W=19.1cm; T=4.2cm,L=123.4cm; W=20.2cm; T=5.2cm,,length: 121.2/123.4 | shoulder_width: 19.1/20.2 | thickness: 4.2/5.2,0.0,dimension disagreement,both records are unnamed | shared dating evidence | shared form evidence | shared lacquer evidence | shared material evidence,,
,无名琴,candidate,Gq00082,Gq,Yjzq00087,Yjzq,C_name_only,True,L=121.2cm; W=19.1cm; T=4.2cm,L=119cm; W=18.5cm; T=6cm,,length: 121.2/119 | shoulder_width: 19.1/18.5 | thickness: 4.2/6,0.0,dimension disagreement,both records are unnamed | shared form evidence | shared material evidence | shared material evidence | shared material evidence,,
,松风,candidate,Gq00064,Gq,Yjzq00053,Yjzq,C_name_only,True,L=125.5cm; W=19.5cm; T=5.7cm,L=1232cm; W=20cm; T=2cm,,length: 125.5/1232 | shoulder_width: 19.5/20 | thickness: 5.7/2,0.0,dimension disagreement,exact normalized name | shared provenance evidence,,
gq-object-9a8c534b1e,秋鸿,confirmed,QNQY039,QNQY,CQL034,CQL,C_name_only,True,L=109.3cm; W=17cm; T=5.3cm,,,,0.0,,"{'left_record': 'QNQY039', 'right_record': 'CQL034', 'normalized_name': '秋鸿', 'score': 0.9, 'status': 'confirmed', 'reasons': ['exact normalized name', 'shared dating evidence', 'shared form evidence', 'shared material evidence', 'shared provenance evidence']}",,
,飞龙,ambiguous,QNQY074,QNQY,CQL060,CQL,C_name_only,True,L=122cm; W=23cm; T=4.5cm,L=111.7cm; W=17.5cm; T=5.2cm; E=101.8cm; HW=17.3cm; TW=12cm,,length: 122/111.7 | shoulder_width: 23/17.5 | thickness: 4.5/5.2,0.0,dimension disagreement,exact normalized name,,
